time	count
0.000	0.00
494356.555	1.00
1164322.429	0.00
1164554.852	1.00
1164686.388	0.00
1164823.261	1.00
1207258.637	0.00
1207422.856	1.00
1305677.005	0.00
1307537.619	1.00
1307553.652	0.00
1387655.987	1.00
1805303.104	0.00
1805398.321	1.00
1843718.831	0.00
