level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
5	5	493801.174	493837.510	493896.375	#f100ff	1.0	Deferred Enqueue Task	1	[[0, 4, 12]]				149
5	5	493931.677	493931.677	493944.124	#ffc0cb	1.0	ProfTask <1>						167
5	5	494015.963	494058.742	494101.567	#3dff00	1.0	Task Physical Dependence Analysis	1	[[0, 4, 12]]				150
5	5	494130.615	494130.615	494135.463	#ffc0cb	1.0	ProfTask <1>						168
5	5	494172.288	494208.875	494348.350	#3dff00	1.0	Task Physical Dependence Analysis	1	[[0, 4, 12]]				194
5	5	1164217.469	1164265.110	1164304.048	#00ff12	1.0	Logical Dependence Analysis	3					14
5	5	1164388.574	1164405.071	1164511.519	#007bff	1.0	Operation Physical Dependence Analysis	3					195
5	5	1164663.131	1164682.320	1164714.593	#00ff12	1.0	Logical Dependence Analysis	4					17
5	5	1164756.861	1164778.390	1164819.329	#007bff	1.0	Operation Physical Dependence Analysis	4					196
5	5	1207223.090	1207271.028	1207307.344	#00ff12	1.0	Logical Dependence Analysis	5					20
5	5	1207325.288	1207339.179	1207399.159	#007bff	1.0	Operation Physical Dependence Analysis	5					197
5	5	1257350.514	1257389.335	1257422.422	#00ff12	1.0	Logical Dependence Analysis	6					23
5	5	1257467.484	1257499.072	1257585.815	#007bff	1.0	Operation Physical Dependence Analysis	6					25
5	4	1257570.248	1257609.470	1257624.283	#ff00c5	1.0	Tighten Index Space	6					151
5	5	1257640.055	1257640.055	1257646.736	#ffc0cb	1.0	ProfTask <6>						169
5	5	1277801.597	1277848.542	1278028.841	#00ff12	1.0	Logical Dependence Analysis	7					152
5	4	1278051.446	1278051.446	1278056.549	#ffc0cb	1.0	ProfTask <7>						170
5	5	1278050.047	1278063.442	1278119.561	#007bff	1.0	Operation Physical Dependence Analysis	8					153
5	5	1278137.033	1278137.033	1278141.642	#ffc0cb	1.0	ProfTask <8>						171
5	4	1278141.192	1278163.934	1278205.113	#007bff	1.0	Operation Physical Dependence Analysis	7					30
5	5	1278287.286	1278323.593	1278440.201	#3dff00	1.0	Task Physical Dependence Analysis	9					34
5	4	1278415.518	1278461.160	1278541.424	#ff7a00	1.0	Scheduler	0					36
5	4	1278546.753	1278559.476	1278619.622	#00ff12	1.0	Logical Dependence Analysis	12					38
5	3	1278596.469	1278638.486	1278664.513	#333399	1.0	Deferred Ready Trigger	14					275
5	5	1278523.822	1278680.314	1278712.234	#3dff00	1.0	Task Physical Dependence Analysis	11					40
5	3	1278726.859	1278726.859	1278745.693	#cd00ff	1.0	Defer Task Perform Mapping	15	[[0, 3, 567]]				282
5	3	1278745.693	1278745.693	1279400.852	#cd00ff	0.15	Defer Task Perform Mapping (waiting)	15					282
