time	count
1282732.909	0.50
1282738.061	1.00
1282742.186	0.50
1282747.803	1.00
1282880.412	0.50
1282895.492	1.00
1282898.743	0.50
1282903.269	1.00
1282906.398	0.50
1282911.963	1.00
1282915.130	0.50
1282919.738	1.00
1282922.982	0.50
1282928.128	1.00
1282935.817	0.50
1282942.383	1.00
1282942.785	0.50
1282966.964	0.00
1282980.146	0.50
1282986.367	1.00
1282991.345	0.50
1282998.561	1.00
1283003.565	0.50
1283010.418	1.00
1283015.397	0.50
1283022.770	1.00
1283027.895	0.50
1283034.875	1.00
1283040.014	0.50
1283046.978	1.00
1283052.050	0.50
1283059.186	1.00
1283065.631	0.50
1283073.383	1.00
1283076.987	0.50
1283098.801	1.00
1283110.127	0.50
1283130.304	1.00
1283130.494	0.50
1283150.656	1.00
1283156.284	0.50
1283163.621	0.00
1283164.014	0.50
1283182.622	1.00
1283188.104	0.50
1283195.694	1.00
1283204.944	0.50
1283211.677	1.00
1283220.390	0.50
1283227.561	1.00
1283232.886	0.50
1283239.761	1.00
1283244.909	0.50
1283251.950	0.00
1283252.211	0.50
1283272.054	1.00
1283278.592	0.50
1283285.846	1.00
1283291.196	0.50
1283298.174	1.00
1283303.562	0.50
1283311.221	1.00
1283324.969	0.50
1283344.437	1.00
1283395.670	0.50
1283414.744	1.00
1283430.716	0.50
1283450.278	1.00
1283480.049	0.50
1283500.017	1.00
1283500.409	0.50
1283519.252	1.00
1283537.974	0.50
1283621.832	1.00
1283626.988	0.50
1283634.116	1.00
1283639.765	0.50
1283647.210	1.00
1283652.142	0.50
1283658.525	1.00
1283663.327	0.50
1283669.788	1.00
1283674.776	0.50
1283681.015	1.00
1283687.272	0.50
1283695.521	1.00
1283891.905	0.50
1283930.408	1.00
1283931.392	0.50
1283956.807	1.00
1283991.577	0.50
1283996.266	0.00
1284006.864	0.50
1284019.731	1.00
1284026.542	0.50
1284031.957	0.00
1284037.065	0.50
1284043.643	0.00
1284046.066	0.50
1284050.070	0.00
1284052.387	0.50
1284055.707	1.00
1284059.289	0.50
1284060.505	0.00
1284067.513	0.50
1284070.087	1.00
1284074.595	0.50
1284076.801	0.00
1284080.228	0.50
1284085.420	1.00
1284086.541	0.50
1284091.929	0.00
1284092.440	0.50
1284096.296	0.00
1284100.863	0.50
1284101.982	1.00
1284106.383	0.50
1284107.585	0.00
1284111.488	0.50
1284115.765	0.00
1284116.830	0.50
1284121.233	1.00
1284123.552	0.50
1284125.707	0.00
1284131.344	0.50
1284132.489	1.00
1284135.349	0.50
1284139.516	0.00
1284140.596	0.50
1284144.671	0.00
1284148.163	0.50
1284149.723	1.00
1284154.638	0.50
1284156.310	0.00
1284161.552	0.50
1284163.452	1.00
1284167.611	0.50
1284172.102	1.00
1284175.585	0.50
1284177.046	0.00
1284182.497	0.50
1284189.542	0.00
1290561.994	0.50
1290575.892	1.00
1290581.206	0.50
1290645.947	0.00
1290672.470	0.50
1290682.613	0.00
1290706.341	0.50
1290712.299	0.00
1290721.686	0.50
1290776.945	1.00
1290793.748	0.50
1290814.031	1.00
1290821.356	0.50
1290821.681	0.00
1290851.820	0.50
1290857.268	0.00
1301189.824	0.50
1301196.603	0.00
1301211.605	0.50
1301251.876	0.00
1301276.326	0.50
1301282.541	0.00
1301544.868	0.50
1301552.926	0.00
1301559.661	0.50
1301606.151	1.00
1301629.806	0.50
1301641.799	0.00
1301646.722	0.50
1301651.116	0.00
1301693.731	0.50
1301697.364	0.00
1303168.646	0.50
1303281.263	1.00
1303283.977	0.50
1303305.777	1.00
1303312.883	0.50
1303320.693	0.00
1303321.376	0.50
1303344.045	1.00
1303349.993	0.50
1303396.088	0.00
1303396.962	0.50
1303414.273	1.00
1303418.400	0.50
1303482.714	0.00
1303483.722	0.50
1303497.656	1.00
1303502.117	0.50
1303545.046	1.00
1303558.517	0.50
1303573.877	1.00
1303624.181	0.50
1303642.161	0.00
1303670.965	0.50
1303671.094	1.00
1303704.125	0.50
1303718.836	0.00
1303732.487	0.50
1303745.784	1.00
1303770.128	0.50
1303786.168	1.00
1303805.810	0.50
1303811.406	0.00
1303820.840	0.50
1303844.177	0.00
1303845.931	0.50
1303856.281	1.00
1303879.903	0.50
1303908.169	0.00
1303909.035	0.50
1303922.034	1.00
1303925.681	0.50
1303931.496	1.00
1303935.527	0.50
1303940.923	1.00
1303944.758	0.50
1303950.746	1.00
1303965.082	0.50
1303983.695	1.00
1303988.852	0.50
1303996.469	1.00
1304002.083	0.50
1304010.979	1.00
1304016.012	0.50
1304034.134	1.00
1304053.638	0.50
1304057.203	0.00
1304070.131	0.50
1304076.332	1.00
1304082.034	0.50
1304089.969	1.00
1304095.865	0.50
1304099.441	0.00
1304104.636	0.50
1304120.480	1.00
1304128.900	0.50
1304137.321	1.00
1304143.536	0.50
1304151.481	1.00
1304158.130	0.50
1304166.492	1.00
1304172.116	0.50
1304179.541	1.00
1304185.478	0.50
1304194.596	1.00
1304201.779	0.50
1304225.353	1.00
1304268.486	0.50
1304287.341	1.00
1304297.327	0.50
1304317.260	1.00
1304378.464	0.50
1304388.941	0.00
1304398.660	0.50
1304402.496	1.00
1304436.193	0.50
1304450.099	1.00
