level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	6	1131636.472	1131662.511	1131743.730	#c4ff00	1.0	Deferred Enqueue Task	1	[[0, 3, 16]]				227
3	6	1131777.645	1131777.645	1131796.014	#ffc0cb	1.0	ProfTask <1>						236
3	6	1131825.852	1131842.077	1131881.475	#ee00ff	1.0	Task Physical Dependence Analysis	1	[[0, 3, 16]]				19
3	6	1131929.728	1131943.421	1132089.267	#ee00ff	1.0	Task Physical Dependence Analysis	1	[[0, 3, 16]]				245
3	6	1887337.668	1887393.247	1887455.149	#007bff	1.0	Logical Dependence Analysis	3					228
3	6	1887480.054	1887480.054	1887485.915	#ffc0cb	1.0	ProfTask <3>						237
3	6	1887504.651	1887535.605	1887638.705	#001eff	1.0	Operation Physical Dependence Analysis	3					246
3	6	1887763.546	1887805.820	1887841.593	#007bff	1.0	Logical Dependence Analysis	4					230
3	6	1887867.399	1887867.399	1887872.806	#ffc0cb	1.0	ProfTask <4>						238
3	6	1887890.796	1887942.877	1887986.727	#001eff	1.0	Operation Physical Dependence Analysis	4					231
3	6	1888015.869	1888015.869	1888019.680	#ffc0cb	1.0	ProfTask <4>						239
3	6	2003971.035	2004015.227	2004051.755	#007bff	1.0	Logical Dependence Analysis	5					24
3	6	2004063.491	2004078.517	2004121.149	#001eff	1.0	Operation Physical Dependence Analysis	5					249
3	6	2064084.727	2064129.215	2064275.023	#007bff	1.0	Logical Dependence Analysis	6	[[0, 2, 244]]				26
3	6	2064287.989	2064295.923	2064342.601	#001eff	1.0	Operation Physical Dependence Analysis	7					28
3	6	2064350.761	2064363.504	2064440.663	#9d00ff	1.0	Scheduler	0					29
3	6	2064491.009	2064491.009	2064519.103	#007bff	1.0	Logical Dependence Analysis	8	[[0, 2, 7]]				233
3	6	2064519.103	2064519.103	2064832.086	#007bff	0.15	Logical Dependence Analysis (waiting)	8					233
3	6	2064832.086	2064832.086	2064851.735	#007bff	0.45	Logical Dependence Analysis (ready)	8					233
3	6	2064851.735	2064851.735	2064920.144	#007bff	1.0	Logical Dependence Analysis	8					233
2	5	2064684.275	2064684.275	2064696.490	#ffc0cb	1.0	ProfTask <6>						291
2	5	2064765.377	2064796.569	2064815.504	#ff00ad	1.0	Mapper Continuation	8	[[0, 2, 7]]				30
3	6	2064939.541	2064939.541	2064943.295	#ffc0cb	1.0	ProfTask <6>						240
3	6	2064949.158	2064949.158	2064960.112	#ffc0cb	1.0	ProfTask <8>						241
3	5	2064951.272	2064966.408	2064987.569	#001eff	1.0	Operation Physical Dependence Analysis	9					234
3	5	2065001.319	2065001.319	2065005.803	#ffc0cb	1.0	ProfTask <9>						242
3	6	2064998.019	2065011.887	2065074.606	#9d00ff	1.0	Scheduler	0					235
3	6	2065087.801	2065087.801	2065093.099	#ffc0cb	1.0	ProfTask <0>						243
3	5	2065175.981	2065175.981	2065183.321	#ffc0cb	1.0	ProfTask <8>						292
3	6	2065193.676	2065193.676	2065222.977	#007bff	1.0	Logical Dependence Analysis	10	[[0, 2, 298]]				256
3	6	2065222.977	2065222.977	2065295.140	#007bff	0.15	Logical Dependence Analysis (waiting)	10					256
3	6	2065295.140	2065295.140	2065314.647	#007bff	0.45	Logical Dependence Analysis (ready)	10					256
3	6	2065314.647	2065314.647	2065357.418	#007bff	1.0	Logical Dependence Analysis	10					256
2	5	2065218.157	2065260.230	2065279.744	#ff00ad	1.0	Mapper Continuation	10	[[0, 2, 298]]				255
3	5	2065338.495	2065376.792	2065406.576	#333399	1.0	Deferred Ready Trigger	11					33
3	6	2065422.853	2065431.175	2065463.379	#333399	1.0	Deferred Ready Trigger	10	[[0, 2, 298]]				36
3	5	2065439.589	2065478.480	2065518.172	#007bff	1.0	Logical Dependence Analysis	12	[[0, 2, 9]]				37
3	6	2065507.551	2065531.848	2065541.822	#333399	1.0	Deferred Ready Trigger	12	[[0, 2, 9]]				38
3	6	2065555.739	2065555.739	2065620.847	#ee00ff	1.0	Task Physical Dependence Analysis	10	[[0, 2, 298]]				288
3	6	2065620.847	2065620.847	2065644.003	#ee00ff	0.15	Task Physical Dependence Analysis (waiting)	10					288
3	6	2065644.003	2065644.003	2065671.369	#ee00ff	0.45	Task Physical Dependence Analysis (ready)	10					288
3	6	2065671.369	2065671.369	2065773.170	#ee00ff	1.0	Task Physical Dependence Analysis	10					288
2	5	2065562.363	2065562.363	2065707.741	#ff0b00	1.0	Mapper Call map_task for 10	10	[[0, 2, 298]]				290
3	6	2065798.928	2065798.928	2065822.530	#ffc0cb	1.0	ProfTask <8>						293
3	6	2065831.153	2065831.153	2065836.685	#ffc0cb	1.0	ProfTask <10>						294
3	6	2065841.234	2065841.234	2065844.525	#ffc0cb	1.0	ProfTask <0>						295
3	6	2065854.207	2065873.896	2065965.066	#ee00ff	1.0	Task Physical Dependence Analysis	12	[[0, 2, 9]]				300
3	6	2065991.392	2065991.392	2066001.818	#ffc0cb	1.0	ProfTask <12>						323
3	6	2066028.814	2066047.656	2066079.325	#333399	1.0	Deferred Ready Trigger	13	[[0, 2, 11]]				301
3	6	2066102.388	2066102.388	2066108.878	#ffc0cb	1.0	ProfTask <13>						324
3	6	2066135.812	2066135.812	2066147.756	#ffc0cb	1.0	ProfTask <10>						325
3	5	2066135.907	2066156.610	2066197.991	#006600	1.0	Post-Task Execution	10		[[0, 2, 298]]			349
3	6	2066194.275	2066220.415	2066303.311	#ee00ff	1.0	Task Physical Dependence Analysis	13	[[0, 2, 11]]				303
3	6	2066330.336	2066330.336	2066339.047	#ffc0cb	1.0	ProfTask <12>						326
3	6	2066349.384	2066349.384	2066355.745	#ffc0cb	1.0	ProfTask <13>						327
3	6	2066356.299	2066365.568	2066398.119	#333399	1.0	Deferred Ready Trigger	14	[[0, 2, 299]]				42
3	6	2066398.294	2066420.978	2066445.626	#006600	1.0	Post-Task Execution	13		[[0, 2, 11]]			43
3	6	2066454.530	2066461.318	2066515.270	#ee00ff	1.0	Task Physical Dependence Analysis	14	[[0, 2, 299]]				304
3	6	2066529.232	2066529.232	2066533.681	#ffc0cb	1.0	ProfTask <14>						328
3	6	2066627.150	2066627.150	2066634.424	#ffc0cb	1.0	ProfTask <14>						329
3	6	2066698.558	2066698.558	2066703.281	#ffc0cb	1.0	ProfTask <14>						330
3	6	2067285.724	2067301.801	2067368.328	#007bff	1.0	Logical Dependence Analysis	15					306
3	6	2067395.492	2067395.492	2067401.134	#ffc0cb	1.0	ProfTask <15>						331
3	6	2067406.666	2067421.580	2067455.291	#333399	1.0	Deferred Ready Trigger	15					51
3	5	2067438.999	2067474.609	2067579.536	#001eff	1.0	Operation Physical Dependence Analysis	15					55
3	4	2067578.560	2067607.985	2067641.326	#333399	1.0	Deferred Ready Trigger	17					57
3	6	2067552.580	2067663.628	2067679.151	#f7ff00	1.0	Prepipeline Stage	19					60
3	5	2067626.890	2067705.309	2067752.698	#001eff	1.0	Operation Physical Dependence Analysis	17					307
3	6	2067774.098	2067774.098	2067780.707	#ffc0cb	1.0	ProfTask <17>						332
3	6	2067784.883	2067816.908	2067873.646	#001eff	1.0	Operation Physical Dependence Analysis	19					67
3	6	2067893.332	2067911.279	2067944.485	#333399	1.0	Deferred Ready Trigger	22					70
3	6	2067977.348	2068005.933	2068034.238	#333399	1.0	Deferred Ready Trigger	21					308
3	6	2068050.192	2068050.192	2068053.972	#ffc0cb	1.0	ProfTask <21>						333
3	6	2068701.125	2068718.776	2068819.324	#007bff	1.0	Logical Dependence Analysis	23	[[0, 2, 13]]				309
3	5	2068838.765	2068838.765	2068843.921	#ffc0cb	1.0	ProfTask <23>						334
3	6	2068834.478	2068851.002	2068873.194	#001eff	1.0	Operation Physical Dependence Analysis	24					310
3	5	2068888.720	2068888.720	2068893.183	#ffc0cb	1.0	ProfTask <24>						335
3	6	2068884.784	2068899.579	2068967.735	#9d00ff	1.0	Scheduler	0					355
3	5	2068958.116	2068981.108	2069255.619	#ee00ff	1.0	Task Physical Dependence Analysis	23	[[0, 2, 13]]				311
2	6	2068988.209	2068988.209	2069159.228	#ff0b00	1.0	Mapper Call map_task for 23	23	[[0, 2, 13]]				321
3	6	2069257.831	2069272.218	2069292.337	#333399	1.0	Deferred Ready Trigger	26					357
3	5	2069284.832	2069306.933	2069326.187	#001eff	1.0	Operation Physical Dependence Analysis	26					359
3	6	2069340.380	2069340.380	2069345.572	#ffc0cb	1.0	ProfTask <23>						336
3	5	2069340.950	2069352.748	2069390.333	#001eff	1.0	Operation Physical Dependence Analysis	25					361
3	6	2069375.203	2069407.691	2069488.484	#007bff	1.0	Logical Dependence Analysis	27					312
3	6	2069488.981	2069509.402	2069535.567	#001eff	1.0	Operation Physical Dependence Analysis	29					364
3	5	2069531.900	2069555.271	2069568.751	#f7ff00	1.0	Prepipeline Stage	30					366
3	6	2069608.648	2069631.187	2069663.194	#333399	1.0	Deferred Ready Trigger	31					368
3	5	2069650.683	2069689.634	2069729.027	#001eff	1.0	Operation Physical Dependence Analysis	31					369
3	6	2069703.806	2069756.624	2069792.334	#333399	1.0	Deferred Ready Trigger	30					370
3	6	2069797.392	2069810.149	2069877.565	#007bff	1.0	Logical Dependence Analysis	32					315
3	6	2069881.531	2069907.512	2069922.920	#006600	1.0	Post-Task Execution	28					373
3	5	2069861.000	2069947.237	2069974.700	#001eff	1.0	Operation Physical Dependence Analysis	33					374
3	5	2069998.435	2069998.435	2070005.542	#ffc0cb	1.0	ProfTask <27>						337
3	6	2069996.220	2070014.959	2070075.913	#001eff	1.0	Operation Physical Dependence Analysis	32					317
3	6	2070101.685	2070101.685	2070108.096	#ffc0cb	1.0	ProfTask <27>						338
3	6	2070116.927	2070116.927	2070123.965	#ffc0cb	1.0	ProfTask <30>						339
3	6	2070133.033	2070133.033	2070139.695	#ffc0cb	1.0	ProfTask <32>						340
3	6	2070148.618	2070148.618	2070155.876	#ffc0cb	1.0	ProfTask <28>						341
3	6	2070164.942	2070164.942	2070170.490	#ffc0cb	1.0	ProfTask <32>						342
3	6	2070293.609	2070311.079	2070326.801	#006600	1.0	Post-Task Execution	34					318
3	5	2070370.602	2070370.602	2070377.373	#ffc0cb	1.0	ProfTask <34>						343
3	6	2070369.776	2070385.334	2070426.871	#006600	1.0	Post-Task Execution	23		[[0, 2, 13]]			377
3	6	2070667.976	2070698.337	2070791.932	#007bff	1.0	Logical Dependence Analysis	35	[[0, 2, 15]]				73
3	5	2070768.213	2070812.162	2070835.663	#333399	1.0	Deferred Ready Trigger	37					77
3	6	2070826.521	2070851.863	2070873.378	#001eff	1.0	Operation Physical Dependence Analysis	37					319
3	5	2070889.815	2070889.815	2070895.005	#ffc0cb	1.0	ProfTask <37>						344
3	6	2070884.998	2070901.054	2070962.074	#9d00ff	1.0	Scheduler	0					380
3	5	2070975.805	2070975.805	2071133.560	#ee00ff	1.0	Task Physical Dependence Analysis	35	[[0, 2, 15]]				320
3	5	2071133.560	2071133.560	2071172.787	#ee00ff	0.15	Task Physical Dependence Analysis (waiting)	35					320
3	5	2071172.787	2071172.787	2071230.794	#ee00ff	0.45	Task Physical Dependence Analysis (ready)	35					320
3	5	2071230.794	2071230.794	2071432.285	#ee00ff	1.0	Task Physical Dependence Analysis	35					320
2	6	2070983.664	2070983.664	2071255.461	#ff0b00	1.0	Mapper Call map_task for 35	35	[[0, 2, 15]]				322
1	4	2071094.504	2071179.516	2071190.430	#f7ff00	1.0	Prepipeline Stage	38					381
3	6	2071450.221	2071450.221	2071458.232	#ffc0cb	1.0	ProfTask <35>						345
3	6	2071462.205	2071485.324	2071649.220	#001eff	1.0	Operation Physical Dependence Analysis	38					383
3	6	2071898.389	2071933.817	2071946.793	#006600	1.0	Post-Task Execution	39					455
3	6	2071971.528	2071971.528	2071975.936	#ffc0cb	1.0	ProfTask <39>						475
3	6	2072030.588	2072030.588	2072036.622	#ffc0cb	1.0	ProfTask <39>						476
3	6	2072328.841	2072345.424	2072358.717	#006600	1.0	Post-Task Execution	40					457
3	6	2072393.575	2072393.575	2072400.046	#ffc0cb	1.0	ProfTask <40>						477
3	5	2072394.979	2072409.183	2072446.614	#006600	1.0	Post-Task Execution	35		[[0, 2, 15]]			458
3	6	2072472.619	2072472.619	2072478.026	#ffc0cb	1.0	ProfTask <35>						478
3	6	2125438.432	2125594.978	2125632.752	#009900	1.0	Deferred Commit	38					385
3	6	2125645.320	2125703.515	2125736.612	#007bff	1.0	Logical Dependence Analysis	41					459
3	5	2125724.982	2125756.869	2125782.049	#333399	1.0	Deferred Ready Trigger	41					460
3	6	2125771.586	2125799.828	2125832.850	#001eff	1.0	Operation Physical Dependence Analysis	41					386
3	6	2125852.771	2125852.771	2125859.590	#ffc0cb	1.0	ProfTask <41>						479
3	6	2125867.246	2125867.246	2125873.486	#ffc0cb	1.0	ProfTask <41>						480
3	6	2140637.501	2142117.664	2142358.907	#007bff	1.0	Logical Dependence Analysis	42					387
3	5	2142231.268	2142379.766	2142408.752	#333399	1.0	Deferred Ready Trigger	42					462
3	4	2142266.330	2142427.615	2142458.056	#333399	1.0	Deferred Ready Trigger	44					463
3	3	2142283.931	2142479.998	2142508.841	#333399	1.0	Deferred Ready Trigger	45					464
3	2	2142315.059	2142532.780	2142562.055	#333399	1.0	Deferred Ready Trigger	47					465
3	1	2142347.612	2142583.695	2142608.823	#333399	1.0	Deferred Ready Trigger	49					466
3	6	2142444.331	2142626.280	2142703.362	#001eff	1.0	Operation Physical Dependence Analysis	44					391
3	5	2142444.978	2142733.551	2142785.276	#001eff	1.0	Operation Physical Dependence Analysis	43					468
3	4	2142549.062	2142815.494	2142864.105	#001eff	1.0	Operation Physical Dependence Analysis	47					393
3	3	2142553.937	2142883.833	2142927.830	#001eff	1.0	Operation Physical Dependence Analysis	48					394
3	2	2142674.619	2142956.698	2142996.567	#009900	1.0	Garbage Collection	44					395
3	6	2142766.968	2143017.553	2143036.927	#009900	1.0	Garbage Collection	45					396
3	5	2142845.594	2143061.789	2143079.681	#009900	1.0	Garbage Collection	46					397
3	4	2142913.343	2143099.040	2143122.640	#009900	1.0	Garbage Collection	48					398
3	6	2143142.620	2143142.620	2143148.702	#ffc0cb	1.0	ProfTask <42>						481
3	6	2143156.407	2143156.407	2143162.254	#ffc0cb	1.0	ProfTask <42>						482
3	6	2143171.528	2143171.528	2143177.719	#ffc0cb	1.0	ProfTask <44>						483
3	6	2143185.422	2143185.422	2143191.048	#ffc0cb	1.0	ProfTask <45>						484
3	6	2143198.224	2143198.224	2143203.776	#ffc0cb	1.0	ProfTask <47>						485
3	6	2143211.338	2143211.338	2143217.153	#ffc0cb	1.0	ProfTask <49>						486
3	6	2143224.599	2143224.599	2143230.439	#ffc0cb	1.0	ProfTask <42>						487
3	6	2143237.897	2143237.897	2143243.990	#ffc0cb	1.0	ProfTask <43>						488
3	6	2143251.772	2143251.772	2143257.547	#ffc0cb	1.0	ProfTask <46>						489
3	6	2143265.286	2143265.286	2143270.949	#ffc0cb	1.0	ProfTask <49>						490
3	6	2143278.912	2143278.912	2143285.057	#ffc0cb	1.0	ProfTask <42>						491
3	6	2143293.352	2143293.352	2143298.720	#ffc0cb	1.0	ProfTask <43>						492
3	6	2143306.574	2143306.574	2143312.669	#ffc0cb	1.0	ProfTask <47>						493
3	6	2143320.490	2143320.490	2143326.021	#ffc0cb	1.0	ProfTask <49>						494
3	6	2223513.340	2223542.740	2223802.748	#007bff	1.0	Logical Dependence Analysis	50					83
3	5	2223773.308	2223832.624	2223858.909	#333399	1.0	Deferred Ready Trigger	51					85
3	6	2223848.090	2223882.005	2223910.536	#001eff	1.0	Operation Physical Dependence Analysis	51					86
3	5	2223889.580	2223931.926	2223959.271	#333399	1.0	Deferred Ready Trigger	52					88
3	6	2223948.000	2223980.553	2224025.655	#001eff	1.0	Operation Physical Dependence Analysis	52					89
3	5	2224003.975	2224049.819	2224080.825	#333399	1.0	Deferred Ready Trigger	53					91
3	6	2224030.127	2224105.842	2224166.333	#009900	1.0	Garbage Collection	50					92
3	4	2224062.367	2224191.035	2224232.413	#009900	1.0	Garbage Collection	50					93
3	3	2224068.115	2224263.865	2224296.398	#001eff	1.0	Operation Physical Dependence Analysis	53					94
3	6	2224274.059	2224318.069	2224355.751	#333399	1.0	Deferred Ready Trigger	54					97
3	5	2224317.587	2224375.532	2224402.223	#990000	1.0	Deferred Execute	51					98
3	6	2224388.205	2224426.629	2224786.089	#990000	1.0	Deferred Execute	52					107
3	5	2224767.393	2224815.571	2224881.576	#990000	1.0	Deferred Execute	53					111
3	6	2224865.471	2224907.668	2225132.778	#990000	1.0	Deferred Execute	54					120
3	6	2225177.967	2225195.458	2225224.165	#990000	1.0	Deferred Execute	56					122
3	6	2225241.887	2225253.992	2225312.131	#990000	1.0	Deferred Execute	58					399
