level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
1	2	1131871.414	1131871.414	1131877.823	#ffc0cb	1.0	ProfTask <0>						132
1	2	1131902.582	1131902.582	1131907.442	#ffc0cb	1.0	ProfTask <1>						133
1	2	1131967.180	1131967.180	1131973.556	#ffc0cb	1.0	ProfTask <0>						134
1	2	1887540.878	1887540.878	1887549.090	#ffc0cb	1.0	ProfTask <3>						135
1	2	2004081.928	2004081.928	2004089.422	#ffc0cb	1.0	ProfTask <5>						136
1	2	2064305.095	2064305.095	2064310.462	#ffc0cb	1.0	ProfTask <6>						137
1	2	2064366.713	2064366.713	2064373.269	#ffc0cb	1.0	ProfTask <7>						138
1	2	2064467.966	2064467.966	2064474.773	#ffc0cb	1.0	ProfTask <0>						139
1	2	2064854.771	2064854.771	2064860.185	#ffc0cb	1.0	ProfTask <8>						140
1	2	2064900.104	2064917.697	2065292.716	#00fff6	1.0	legate::numpy::FillTask [CPU] <6>		[[0, 1, 31], [0, 2, 13]]	[[0, 0, 26], [0, 1, 251], [0, 1, 258], [0, 1, 232]]		[[0, 3, 16]]	244
1	1	2065246.858	2065321.206	2065629.402	#00fff6	1.0	legate::numpy::FillTask [CPU] <8>		[[0, 1, 287], [0, 2, 11]]	[[0, 1, 253], [0, 0, 233], [0, 1, 254], [0, 1, 259], [0, 0, 30]]		[[0, 3, 16]]	7
1	2	2065651.028	2065651.028	2065655.364	#ffc0cb	1.0	ProfTask <6>						141
1	2	2065660.845	2065660.845	2065664.930	#ffc0cb	1.0	ProfTask <11>						142
1	2	2065670.191	2065670.191	2065674.528	#ffc0cb	1.0	ProfTask <11>						143
1	2	2065678.796	2065678.796	2065682.654	#ffc0cb	1.0	ProfTask <10>						144
1	2	2065686.872	2065686.872	2065690.098	#ffc0cb	1.0	ProfTask <12>						145
1	2	2065694.309	2065694.309	2065697.477	#ffc0cb	1.0	ProfTask <12>						146
1	2	2065703.630	2065703.630	2065708.390	#ffc0cb	1.0	ProfTask <0>						147
1	2	2065714.725	2065714.725	2065719.262	#ffc0cb	1.0	ProfTask <10>						148
1	2	2065723.840	2065723.840	2065727.832	#ffc0cb	1.0	ProfTask <8>						149
1	2	2065758.538	2065780.941	2066111.116	#00fff6	1.0	legate::numpy::FillTask [CPU] <10>		[[0, 2, 299], [0, 0, 349]]	[[0, 0, 288], [0, 0, 290], [0, 0, 255], [0, 0, 36], [0, 0, 256]]		[[0, 3, 16]]	298
1	1	2065952.164	2066144.783	2066215.987	#00fff6	1.0	legate::numpy::FillTask [CPU] <12>		[[0, 1, 302]]	[[0, 0, 38], [0, 0, 300], [0, 0, 37]]		[[0, 3, 16]]	9
1	2	2066245.594	2066245.594	2066251.163	#ffc0cb	1.0	ProfTask <0>						150
1	2	2066259.095	2066259.095	2066264.225	#ffc0cb	1.0	ProfTask <12>						151
1	2	2066286.943	2066301.621	2066377.311	#00fff6	1.0	legate::numpy::FillTask [CPU] <13>		[[0, 0, 43], [0, 2, 13]]	[[0, 0, 303], [0, 2, 7], [0, 1, 348], [0, 0, 301]]		[[0, 3, 16]]	11
1	2	2066405.630	2066405.630	2066412.893	#ffc0cb	1.0	ProfTask <13>						152
1	2	2066421.100	2066421.100	2066427.548	#ffc0cb	1.0	ProfTask <14>						153
1	2	2066471.431	2066471.431	2066479.071	#ffc0cb	1.0	ProfTask <13>						154
1	2	2066505.171	2066535.583	2066593.473	#00fff6	1.0	legate::numpy::FillTask [CPU] <14>		[[0, 2, 13], [0, 1, 305]]	[[0, 2, 298], [0, 0, 304], [0, 0, 42], [0, 1, 350]]		[[0, 3, 16]]	299
1	2	2067346.675	2067346.675	2067354.303	#ffc0cb	1.0	ProfTask <15>						155
1	2	2067387.727	2067387.727	2067394.617	#ffc0cb	1.0	ProfTask <16>						156
1	2	2067442.872	2067442.872	2067451.090	#ffc0cb	1.0	ProfTask <16>						157
