full_text	text	tsv	levels
Utility Processor 0x1d00000000000000	Utility Proc 0	tsv/Proc_0x1d00000000000000.tsv	4
Utility Processor 0x1d00000000000001	Utility Proc 1	tsv/Proc_0x1d00000000000001.tsv	5
CPU Processor 0x1d00000000000002	CPU Proc 2	tsv/Proc_0x1d00000000000002.tsv	1
CPU Processor 0x1d00000000000003	CPU Proc 3	tsv/Proc_0x1d00000000000003.tsv	1
Python Processor 0x1d00000000000004	Python Proc 4	tsv/Proc_0x1d00000000000004.tsv	1
Dependent Partition Channel	Dependent Partition Channel	tsv/None.tsv	3
System Memory 0x1e00000000000000 to System Memory 0x1e00000000000000 Channel	[n0] sys to [n0] sys	tsv/(System_Memory_0x1e00000000000000,_System_Memory_0x1e00000000000000).tsv	3
System Memory 0x1e00000000000000	[n0] sys	tsv/Mem_0x1e00000000000000.tsv	11
