level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
1	3	999566.582	999566.582	999574.512	#ffc0cb	1.0	ProfTask <6>						430
1	3	1020320.096	1020320.096	1020326.371	#ffc0cb	1.0	ProfTask <11>						431
1	3	1020607.485	1020607.485	1020618.851	#ffc0cb	1.0	ProfTask <13>						432
1	3	1020698.885	1020698.885	1020708.696	#ffc0cb	1.0	ProfTask <15>						433
1	3	1020718.044	1020718.044	1020723.315	#ffc0cb	1.0	ProfTask <13>						434
1	3	1020728.635	1020728.635	1020732.653	#ffc0cb	1.0	ProfTask <16>						435
1	3	1020812.834	1020812.834	1020820.679	#ffc0cb	1.0	ProfTask <15>						436
1	2	1020841.769	1020841.769	1020849.994	#ffc0cb	1.0	ProfTask <16>						437
1	3	1020836.247	1020859.100	1022211.911	#00fff6	1.0	legate::numpy::FillTask [CPU] <15>		[[0, 0, 481]]	[[0, 0, 32], [0, 0, 398], [0, 0, 401], [0, 0, 505]]		[[0, 4, 8]]	470
1	2	1021824.225	1022245.345	1023674.774	#00fff6	1.0	legate::numpy::FillTask [CPU] <25>		[[0, 1, 497], [0, 2, 221]]	[[0, 0, 240], [0, 0, 260], [0, 0, 238]]		[[0, 4, 8]]	472
1	3	1022713.176	1023714.788	1024165.613	#00fff6	1.0	legate::numpy::FillTask [CPU] <36>		[[0, 2, 3]]	[[0, 0, 320], [0, 2, 469], [0, 0, 489]]		[[0, 4, 8]]	308
1	1	1023323.068	1024191.329	1025523.689	#00fff6	1.0	legate::numpy::FillTask [CPU] <39>		[[0, 0, 341]]	[[0, 0, 241], [0, 1, 329], [0, 1, 242]]		[[0, 4, 8]]	309
1	2	1023757.906	1025553.734	1025793.359	#00fff6	1.0	legate::numpy::FillTask [CPU] <43>		[[0, 2, 220], [0, 2, 3], [0, 1, 342]]	[[0, 1, 493], [0, 0, 496]]		[[0, 4, 8]]	389
1	3	1025825.619	1025825.619	1025838.009	#ffc0cb	1.0	ProfTask <43>						438
1	3	1025842.865	1025857.809	1027267.987	#ff0038	1.0	legate::numpy::BinaryOpTask [CPU] <48>		[[0, 3, 390]]	[[0, 2, 221], [0, 1, 346], [0, 0, 337], [0, 1, 246], [0, 0, 250]]		[[0, 4, 8]]	573
1	3	1027284.385	1027290.352	1028673.325	#ff0038	1.0	legate::numpy::BinaryOpTask [CPU] <53>		[[0, 2, 392], [0, 2, 219]]	[[0, 0, 258], [0, 3, 573], [0, 1, 256], [0, 1, 542], [0, 0, 340]]		[[0, 4, 8]]	390
1	3	1028696.363	1028696.363	1028702.589	#ffc0cb	1.0	ProfTask <53>						439
1	3	1043152.725	1043152.725	1043162.570	#ffc0cb	1.0	ProfTask <54>						440
1	3	1043172.134	1043172.134	1043175.780	#ffc0cb	1.0	ProfTask <54>						441
1	3	1043478.703	1043478.703	1043483.955	#ffc0cb	1.0	ProfTask <0>						442
1	3	1043559.025	1043559.025	1043565.584	#ffc0cb	1.0	ProfTask <57>						443
