level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
4	6	478089.159	478125.062	478182.035	#f100ff	1.0	Deferred Enqueue Task	1	[[0, 4, 8]]				223
4	6	478215.750	478215.750	478227.571	#ffc0cb	1.0	ProfTask <1>						262
4	6	478280.038	478321.896	478364.450	#3dff00	1.0	Task Physical Dependence Analysis	1	[[0, 4, 8]]				224
4	6	478393.250	478393.250	478398.019	#ffc0cb	1.0	ProfTask <1>						263
4	6	478443.497	478488.917	478610.233	#3dff00	1.0	Task Physical Dependence Analysis	1	[[0, 4, 8]]				312
4	6	922125.469	922202.362	922257.734	#00ff12	1.0	Logical Dependence Analysis	3					226
4	6	922282.907	922282.907	922293.697	#ffc0cb	1.0	ProfTask <3>						264
4	6	922301.230	922320.369	922430.159	#007bff	1.0	Operation Physical Dependence Analysis	3					314
4	6	922573.150	922615.976	922651.888	#00ff12	1.0	Logical Dependence Analysis	4					228
4	6	922678.906	922678.906	922683.753	#ffc0cb	1.0	ProfTask <4>						265
4	6	922701.693	922748.730	922781.292	#007bff	1.0	Operation Physical Dependence Analysis	4					229
4	6	922821.002	922821.002	922824.608	#ffc0cb	1.0	ProfTask <4>						266
4	6	962476.345	962526.481	962567.952	#00ff12	1.0	Logical Dependence Analysis	5					230
4	6	962598.963	962598.963	962603.564	#ffc0cb	1.0	ProfTask <5>						267
4	6	962626.749	962678.949	962723.015	#007bff	1.0	Operation Physical Dependence Analysis	5					316
4	6	999247.591	999297.143	999351.129	#00ff12	1.0	Logical Dependence Analysis	6					231
4	6	999372.250	999372.250	999376.414	#ffc0cb	1.0	ProfTask <6>						268
4	6	999386.903	999406.012	999503.615	#007bff	1.0	Operation Physical Dependence Analysis	6					13
4	5	999477.933	999524.730	999537.920	#ff00c5	1.0	Tighten Index Space	6					232
4	6	999551.347	999551.347	999554.898	#ffc0cb	1.0	ProfTask <6>						269
4	6	1019264.111	1019311.922	1019495.815	#00ff12	1.0	Logical Dependence Analysis	7					233
4	6	1019516.941	1019516.941	1019521.801	#ffc0cb	1.0	ProfTask <7>						270
4	5	1019518.805	1019527.822	1019579.130	#007bff	1.0	Operation Physical Dependence Analysis	8					234
4	6	1019594.838	1019594.838	1019598.189	#ffc0cb	1.0	ProfTask <8>						271
4	6	1019608.309	1019628.570	1019699.933	#007bff	1.0	Operation Physical Dependence Analysis	7					17
4	6	1019789.476	1019827.080	1019950.329	#3dff00	1.0	Task Physical Dependence Analysis	9					19
4	5	1019924.320	1019974.821	1020060.964	#ff7a00	1.0	Scheduler	0					22
4	6	1020028.245	1020081.461	1020149.907	#00ff12	1.0	Logical Dependence Analysis	12					26
4	5	1020132.251	1020169.732	1020198.015	#333399	1.0	Deferred Ready Trigger	14					28
4	4	1020052.647	1020215.638	1020251.160	#3dff00	1.0	Task Physical Dependence Analysis	11					396
4	5	1020263.069	1020263.069	1020281.769	#cd00ff	1.0	Defer Task Perform Mapping	15	[[0, 3, 470]]				401
4	5	1020281.769	1020281.769	1020697.773	#cd00ff	0.15	Defer Task Perform Mapping (waiting)	15					401
4	5	1020697.773	1020697.773	1020722.173	#cd00ff	0.45	Defer Task Perform Mapping (ready)	15					401
4	5	1020722.173	1020722.173	1020787.419	#cd00ff	1.0	Defer Task Perform Mapping	15					401
3	6	1020186.739	1020365.103	1020389.610	#007bff	1.0	Operation Physical Dependence Analysis	14					29
3	4	1020379.795	1020411.660	1020446.324	#333399	1.0	Deferred Ready Trigger	12					30
3	6	1020465.390	1020465.390	1020545.104	#00b1ff	1.0	Mapper Continuation	15	[[0, 3, 470]]				398
