time	count
1024023.781	1.00
1024050.003	0.50
1024066.601	1.00
1024067.567	0.50
1024083.242	1.00
1024112.260	0.50
1024125.702	1.00
1024142.386	0.50
1024176.449	1.00
1024187.245	0.50
1024197.413	1.00
1024204.799	0.50
1024214.037	1.00
1024298.425	0.50
1024316.465	1.00
1024327.960	0.50
1024336.179	1.00
1024341.424	0.50
1024350.467	1.00
1024359.821	0.50
1024367.407	1.00
1024372.548	0.50
1024380.168	1.00
1024385.425	0.50
1024393.264	1.00
1024397.528	0.50
1024403.247	1.00
1024409.951	0.50
1024415.079	1.00
1024418.409	0.50
1024422.747	1.00
1024425.896	0.50
1024430.164	1.00
1024433.324	0.50
1024437.680	1.00
1024440.818	0.50
1024445.675	1.00
1024450.251	0.50
1024457.169	1.00
1024462.152	0.50
1024468.852	1.00
1024473.600	0.50
1024481.925	1.00
1024488.279	0.50
1024497.214	1.00
1024532.506	0.50
1024551.826	1.00
1024557.161	0.50
1024557.310	0.00
1024564.753	0.50
1024569.824	0.00
1024577.086	0.50
1024582.272	0.00
1024585.057	0.50
1024590.350	0.00
1024597.545	0.50
1024601.896	0.00
1024604.599	0.50
1024607.410	1.00
1024610.839	0.50
1024615.132	1.00
1024619.071	0.50
1024623.671	1.00
1024626.791	0.50
1024631.171	1.00
1024634.661	0.50
1024639.219	1.00
1024642.520	0.50
1024647.137	1.00
1024653.786	0.50
1024658.361	1.00
1024661.720	0.50
1024666.000	1.00
1024669.305	0.50
1024674.022	1.00
1024677.281	0.50
1024682.524	1.00
1024686.570	0.50
1024691.334	1.00
1024694.870	0.50
1024701.141	1.00
1024710.027	0.50
1024725.666	0.00
1024736.750	0.50
1024738.342	1.00
1024762.023	0.50
1024774.483	1.00
1024779.744	0.50
1024804.740	1.00
1024816.493	0.50
1024826.612	1.00
1024833.728	0.50
1024836.925	0.00
1024843.783	0.50
1024849.380	1.00
1024856.773	0.50
1024862.364	1.00
1024865.775	0.50
1024870.158	1.00
1024873.470	0.50
1024878.042	1.00
1024882.017	0.50
1024887.041	1.00
1024891.672	0.50
1024896.902	1.00
1024934.671	0.50
1024954.495	0.00
1024959.693	0.50
1024968.486	1.00
1025006.101	0.50
1025019.490	1.00
1025036.615	0.50
1025052.455	1.00
1025062.406	0.50
1025084.356	1.00
1025136.235	0.50
1025163.800	1.00
1025193.188	0.50
1025214.680	1.00
1025220.882	0.50
1025229.189	1.00
1025233.988	0.50
1025241.497	1.00
1025247.221	0.50
1025257.689	1.00
1025263.857	0.50
1025270.770	1.00
1025275.650	0.50
1025283.515	1.00
1025288.725	0.50
1025296.185	1.00
1025301.041	0.50
1025308.726	1.00
1025315.060	0.50
1025322.404	1.00
1025328.213	0.50
1025336.959	1.00
1025342.196	0.50
1025359.303	1.00
1025364.244	0.50
1025370.767	1.00
1025375.170	0.50
1025381.120	1.00
1025382.984	0.50
1025385.474	0.00
1025391.182	0.50
1025394.660	0.00
1025399.314	0.50
1025402.789	0.00
1025408.650	0.50
1025411.987	0.00
1025424.161	0.50
1025425.162	1.00
1025483.181	0.50
1025498.175	1.00
1025513.498	0.50
1025527.688	0.00
1025539.025	0.50
1025543.882	1.00
1025548.382	0.50
1025558.764	1.00
1025586.146	0.50
1025602.869	0.00
1025611.427	0.50
1025614.838	1.00
1025619.617	0.50
1025622.226	0.00
1025625.266	0.50
1025628.726	0.00
1025633.859	0.50
1025638.213	1.00
1025642.194	0.50
