level	level_ready	ready	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
5	5	478172.693	478215.611	478293.256	#ff7a00	1.0	Scheduler	0					310
5	5	478322.038	478322.038	478327.141	#ffc0cb	1.0	ProfTask <0>						347
5	5	478343.946	478397.534	478455.013	#ff7a00	1.0	Scheduler	0					311
5	5	478487.003	478487.003	478491.783	#ffc0cb	1.0	ProfTask <0>						348
5	5	478651.813	478651.813	478657.222	#ffc0cb	1.0	ProfTask <1>						349
5	5	922233.314	922271.051	922313.422	#333399	1.0	Deferred Ready Trigger	3					313
5	5	922352.823	922352.823	922360.236	#ffc0cb	1.0	ProfTask <3>						350
5	5	922485.054	922485.054	922500.295	#ffc0cb	1.0	ProfTask <3>						351
5	5	922630.835	922685.337	922723.942	#333399	1.0	Deferred Ready Trigger	4					315
5	5	922752.172	922752.172	922757.292	#ffc0cb	1.0	ProfTask <4>						352
5	5	962545.217	962606.098	962647.123	#333399	1.0	Deferred Ready Trigger	5					10
5	5	962756.169	962756.169	962760.737	#ffc0cb	1.0	ProfTask <5>						353
5	5	999327.424	999365.982	999398.360	#333399	1.0	Deferred Ready Trigger	6					12
5	5	999472.194	999507.767	999529.853	#ff00c5	1.0	Tighten Index Space	6					395
5	5	1019457.047	1019495.678	1019531.556	#333399	1.0	Deferred Ready Trigger	8					15
5	5	1019557.401	1019576.947	1019620.039	#333399	1.0	Deferred Ready Trigger	7					317
5	5	1019636.957	1019636.957	1019640.979	#ffc0cb	1.0	ProfTask <7>						354
5	5	1019678.408	1019714.252	1019811.952	#ff7a00	1.0	Scheduler	0					318
5	5	1019830.493	1019830.493	1019834.164	#ffc0cb	1.0	ProfTask <0>						355
5	5	1019897.852	1019933.635	1020004.219	#ff7a00	1.0	Scheduler	0					21
5	4	1019992.992	1020027.498	1020099.613	#3dff00	1.0	Task Physical Dependence Analysis	10					24
5	5	1020115.715	1020115.715	1020307.025	#cd00ff	1.0	Defer Task Perform Mapping	13	[[0, 2, 469]]				397
5	5	1020307.025	1020307.025	1020352.321	#cd00ff	0.15	Defer Task Perform Mapping (waiting)	13					397
5	5	1020352.321	1020352.321	1020384.622	#cd00ff	0.45	Defer Task Perform Mapping (ready)	13					397
5	5	1020384.622	1020384.622	1020580.691	#cd00ff	1.0	Defer Task Perform Mapping	13					397
4	4	1020128.964	1020128.964	1020436.997	#ff3200	1.0	Mapper Call map_task for 13	13	[[0, 2, 469]]				345
5	3	1020602.314	1020602.314	1020623.469	#00ff12	1.0	Logical Dependence Analysis	16					402
5	3	1020623.469	1020623.469	1020734.315	#00ff12	0.15	Logical Dependence Analysis (waiting)	16					402
5	3	1020734.315	1020734.315	1020750.432	#00ff12	0.45	Logical Dependence Analysis (ready)	16					402
5	3	1020750.432	1020750.432	1020808.922	#00ff12	1.0	Logical Dependence Analysis	16					402
4	2	1020573.676	1020634.362	1020676.289	#ff0098	1.0	Defer Task Launch	13	[[0, 2, 469]]				399
4	5	1020660.088	1020691.218	1020713.369	#00b1ff	1.0	Mapper Continuation	16					400
5	5	1020789.298	1020839.392	1020874.211	#333399	1.0	Deferred Ready Trigger	18					34
5	4	1020437.396	1020894.975	1020930.984	#007bff	1.0	Operation Physical Dependence Analysis	12					37
5	5	1020903.439	1020952.149	1020985.345	#333399	1.0	Deferred Ready Trigger	17					38
5	3	1020861.093	1021013.914	1021039.622	#007bff	1.0	Operation Physical Dependence Analysis	18					40
5	4	1021026.234	1021058.657	1021095.392	#333399	1.0	Deferred Ready Trigger	16					45
5	5	1020987.324	1021113.857	1021175.820	#3dff00	1.0	Task Physical Dependence Analysis	19					47
5	4	1021158.455	1021196.702	1021292.380	#ff7a00	1.0	Scheduler	0					544
5	3	1021081.721	1021312.878	1021325.094	#007bff	1.0	Operation Physical Dependence Analysis	16					545
5	5	1021339.701	1021339.701	1021358.196	#3dff00	1.0	Task Physical Dependence Analysis	21					549
5	5	1021358.196	1021358.196	1021411.587	#3dff00	0.15	Task Physical Dependence Analysis (waiting)	21					549
5	5	1021411.587	1021411.587	1021427.029	#3dff00	0.45	Task Physical Dependence Analysis (ready)	21					549
5	5	1021427.029	1021427.029	1021477.105	#3dff00	1.0	Task Physical Dependence Analysis	21					549
4	4	1021352.856	1021375.545	1021396.820	#00b1ff	1.0	Mapper Continuation	21					546
5	4	1021492.376	1021492.376	1021517.858	#ff7a00	1.0	Scheduler	0					476
5	4	1021517.858	1021517.858	1021580.405	#ff7a00	0.15	Scheduler (waiting)	0					476
5	4	1021580.405	1021580.405	1021598.522	#ff7a00	0.45	Scheduler (ready)	0					476
5	4	1021598.522	1021598.522	1021633.743	#ff7a00	1.0	Scheduler	0					476
5	4	1021633.743	1021633.743	1021852.513	#ff7a00	0.15	Scheduler (waiting)	0					476
5	4	1021852.513	1021852.513	1021869.553	#ff7a00	0.45	Scheduler (ready)	0					476
5	4	1021869.553	1021869.553	1021890.510	#ff7a00	1.0	Scheduler	0					476
5	4	1021890.510	1021890.510	1022054.060	#ff7a00	0.15	Scheduler (waiting)	0					476
5	4	1022054.060	1022054.060	1022149.566	#ff7a00	0.45	Scheduler (ready)	0					476
5	4	1022149.566	1022149.566	1022191.124	#ff7a00	1.0	Scheduler	0					476
4	5	1021519.896	1021535.050	1021563.059	#00b1ff	1.0	Mapper Continuation	0					550
4	3	1021361.126	1021650.015	1021708.350	#3dff00	1.0	Task Physical Dependence Analysis	22					237
4	5	1021729.660	1021729.660	1021748.943	#cd00ff	1.0	Defer Task Perform Mapping	29	[[0, 2, 471]]				474
4	5	1021748.943	1021748.943	1022010.605	#cd00ff	0.15	Defer Task Perform Mapping (waiting)	29					474
4	5	1022010.605	1022010.605	1022033.123	#cd00ff	0.45	Defer Task Perform Mapping (ready)	29					474
4	5	1022033.123	1022033.123	1022115.674	#cd00ff	1.0	Defer Task Perform Mapping	29					474
3	3	1021729.839	1021800.527	1021831.515	#00b1ff	1.0	Mapper Continuation	0					239
3	2	1021906.979	1021906.979	1021935.187	#3dff00	1.0	Task Physical Dependence Analysis	24					479
3	2	1021935.187	1021935.187	1022091.376	#3dff00	0.15	Task Physical Dependence Analysis (waiting)	24					479
